session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
v8jw39uu,31,f8d4gvps,5,wsd_app,Introduction,1655115225,1,0,0
v8jw39uu,15,bclront8,5,wsd_app,Introduction,1655115226,1,0,0
v8jw39uu,12,279d0sem,4,wsd_app,GeneralIntro,1655115227,1,0,0
v8jw39uu,2,duey5jmx,5,wsd_app,Introduction,1655115228,1,0,0
v8jw39uu,1,l81l91fj,6,wsd_app,Decision,1655115228,1,0,0
v8jw39uu,29,wwmxiren,4,wsd_app,GeneralIntro,1655115228,1,0,0
v8jw39uu,38,n0kgqe99,4,wsd_app,GeneralIntro,1655115229,1,0,0
v8jw39uu,41,0wymj3xg,1,intro_matcher,Intro,1655115231,1,0,0
v8jw39uu,45,47ztl1u0,4,wsd_app,GeneralIntro,1655115231,1,0,0
v8jw39uu,38,n0kgqe99,5,wsd_app,Introduction,1655115231,1,0,0
v8jw39uu,27,drll18h9,5,wsd_app,Introduction,1655115232,1,0,0
v8jw39uu,34,4g0beedo,1,intro_matcher,Intro,1655115233,1,0,0
v8jw39uu,32,7yty41jr,4,wsd_app,GeneralIntro,1655115234,1,0,0
v8jw39uu,29,wwmxiren,5,wsd_app,Introduction,1655115235,1,0,0
v8jw39uu,3,kb4xh90w,6,wsd_app,Decision,1655115236,1,0,0
v8jw39uu,11,tw74rorl,3,wsd_app,FirstWP,1655115236,1,0,1
v8jw39uu,26,uacdg9di,3,wsd_app,FirstWP,1655115236,1,0,1
v8jw39uu,36,kzlwe574,3,wsd_app,FirstWP,1655115236,1,0,1
v8jw39uu,35,17ajo6f1,4,wsd_app,GeneralIntro,1655115236,1,0,0
v8jw39uu,30,sfccokok,1,intro_matcher,Intro,1655115236,1,0,0
v8jw39uu,38,n0kgqe99,6,wsd_app,Decision,1655115236,1,0,0
v8jw39uu,34,4g0beedo,2,matcher,FirstWP,1655115237,1,0,1
v8jw39uu,41,0wymj3xg,2,matcher,FirstWP,1655115237,1,0,1
v8jw39uu,30,sfccokok,2,matcher,FirstWP,1655115237,1,0,1
v8jw39uu,45,47ztl1u0,5,wsd_app,Introduction,1655115237,1,0,0
v8jw39uu,7,nnbai6eu,6,wsd_app,Decision,1655115237,1,0,0
v8jw39uu,22,1e9fragw,4,wsd_app,GeneralIntro,1655115237,1,0,0
v8jw39uu,30,sfccokok,3,wsd_app,FirstWP,1655115238,1,0,1
v8jw39uu,34,4g0beedo,3,wsd_app,FirstWP,1655115238,1,0,1
v8jw39uu,41,0wymj3xg,3,wsd_app,FirstWP,1655115238,1,0,1
v8jw39uu,1,l81l91fj,7,wsd_app,ResultsWaitPage,1655115238,1,0,1
v8jw39uu,3,kb4xh90w,7,wsd_app,ResultsWaitPage,1655115238,1,0,1
v8jw39uu,7,nnbai6eu,7,wsd_app,ResultsWaitPage,1655115238,1,0,1
v8jw39uu,37,yketsy3q,4,wsd_app,GeneralIntro,1655115238,1,0,0
v8jw39uu,28,tj9eap24,1,intro_matcher,Intro,1655115239,1,0,0
v8jw39uu,12,279d0sem,5,wsd_app,Introduction,1655115240,1,0,0
v8jw39uu,40,kmdosfa1,4,wsd_app,GeneralIntro,1655115241,1,0,0
v8jw39uu,24,a9ef39uv,5,wsd_app,Introduction,1655115242,1,0,0
v8jw39uu,48,5dw26fpk,1,intro_matcher,Intro,1655115243,1,0,0
v8jw39uu,33,38tdh1io,4,wsd_app,GeneralIntro,1655115243,1,0,0
v8jw39uu,46,uxj1cwd9,1,intro_matcher,Intro,1655115245,1,0,0
v8jw39uu,44,px7fovuk,1,intro_matcher,Intro,1655115245,1,0,0
v8jw39uu,47,e6i5hr4i,1,intro_matcher,Intro,1655115245,1,0,0
v8jw39uu,28,tj9eap24,2,matcher,FirstWP,1655115245,1,0,1
v8jw39uu,46,uxj1cwd9,2,matcher,FirstWP,1655115245,1,0,1
v8jw39uu,48,5dw26fpk,2,matcher,FirstWP,1655115245,1,0,1
v8jw39uu,40,kmdosfa1,5,wsd_app,Introduction,1655115246,1,0,0
